Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,,
7899,19.21,23.45%,0.0024,,
7900,10.92,2.67%,0.0022,,
7901,7.63,16.69%,0.0087,,
7902,16.77,23.02%,0.0093,,
7903,5.15,22.47%,0.0098,,
7904,17.23,21.38%,0.0068,,
7905,19.95,5.94%,0.0082,,
7906,13.93,29.73%,0.0069,,
7907,1.93,2.55%,0.0076,,
7908,11.87,4.69%,0.0076,,
7909,20.61,6.60%,0.0061,,
7910,23.90,3.11%,0.0072,,
7911,3.91,22.54%,0.0057,,
7912,2.79,3.98%,0.0005,,
7913,12.27,14.40%,0.0067,,
7914,6.26,30.84%,0.0082,,
7915,8.78,22.74%,0.0008,,
7916,8.81,1.15%,0.0087,,
7917,9.97,16.39%,0.0005,,
7918,3.13,8.99%,0.0076,,
7919,9.43,32.76%,0.0059,,
7920,3.46,3.97%,0.0096,,
7921,2.15,15.10%,0.0025,,
7922,22.42,35.53%,0.0018,,
7923,20.26,28.47%,0.0076,,
7924,21.38,32.50%,0.0035,,
7925,10.06,18.12%,0.0033,,
7926,0.64,33.04%,0.0095,,
7927,3.21,2.41%,0.0069,,
7928,15.45,10.55%,0.0058,,
7929,8.09,10.58%,0.0054,,
7930,14.88,37.03%,0.0009,,
7931,9.43,2.86%,0.0035,,
7932,1.64,26.57%,0.0043,,
7933,22.23,12.87%,0.0004,,
7934,17.75,2.36%,0.0013,,
7935,7.62,26.47%,0.0049,,
7936,2.11,13.49%,0.0057,,
7937,20.86,8.80%,0.0090,,
7938,22.31,4.17%,0.0098,,
7939,13.07,34.60%,0.0089,,
7940,4.45,36.21%,0.0023,,
7941,14.49,29.22%,0.0005,,
7942,3.49,22.40%,0.0040,,
7943,14.00,8.73%,0.0072,,
7944,3.30,32.54%,0.0060,,
7945,19.79,36.10%,0.0064,,
7946,10.04,36.77%,0.0064,,
7947,13.66,5.58%,0.0049,,
7948,21.59,6.36%,0.0049,,
7949,9.30,27.38%,0.0037,,
7950,23.91,38.87%,0.0024,,
7951,2.00,3.73%,0.0043,,
7952,8.79,0.88%,0.0056,,
7953,11.46,36.19%,0.0031,,
7954,4.44,13.22%,0.0072,,
7955,0.37,36.92%,0.0001,,
7956,13.77,16.26%,0.0055,,
7957,15.14,30.16%,0.0031,,
7958,3.30,13.92%,0.0038,,
7959,5.36,19.74%,0.0051,,
7960,20.92,28.58%,0.0074,,
7961,7.18,6.87%,0.0037,,
7962,19.24,27.00%,0.0011,,
7963,11.34,33.69%,0.0006,,
7964,2.81,35.13%,0.0041,,
7965,1.08,1.00%,0.0063,,
7966,15.21,9.22%,0.0048,,
7967,4.27,5.02%,0.0088,,
7968,13.77,10.97%,0.0062,,
7969,1.04,19.63%,0.0014,,
7970,1.35,27.04%,0.0059,,
7971,11.52,23.60%,0.0082,,
7972,21.83,22.74%,0.0092,,
7973,25.00,9.14%,0.0084,,
7974,15.12,7.43%,0.0038,,
7975,9.51,9.77%,0.0046,,
7976,19.49,24.20%,0.0048,,
7977,12.14,15.83%,0.0004,,
7978,22.17,37.08%,0.0015,,
7979,7.72,7.57%,0.0064,,
7980,8.37,38.96%,0.0022,,
7981,5.35,32.60%,0.0042,,
7982,21.19,19.28%,0.0075,,
7983,17.67,20.23%,0.0066,,
7984,10.05,2.15%,0.0004,,
7985,23.16,21.48%,0.0025,,
7986,2.63,23.88%,0.0067,,
7987,21.02,8.39%,0.0076,,
7988,23.69,2.51%,0.0089,,
7989,15.17,31.47%,0.0044,,
7990,23.68,14.19%,0.0098,,
7991,12.17,31.97%,0.0007,,
7992,12.65,34.32%,0.0055,,
7993,8.43,20.64%,0.0015,,
7994,1.70,11.87%,0.0095,,
7995,19.51,5.85%,0.0018,,
7996,1.09,23.83%,0.0073,,
7997,13.62,21.85%,0.0072,,
7998,1.31,36.61%,0.0071,,
7999,14.21,1.58%,0.0097,,
8000,7.09,33.01%,0.0072,,
8001,3.09,8.62%,0.0067,,
8002,11.69,38.88%,0.0058,,
8003,5.26,4.65%,0.0017,,
8004,14.12,9.31%,0.0049,,
8005,18.95,13.36%,0.0053,,
8006,5.02,10.23%,0.0056,,
8007,4.72,16.21%,0.0009,,
8008,22.04,19.00%,0.0039,,
8009,15.35,19.29%,0.0032,,
8010,1.46,26.39%,0.0055,,
8011,7.80,25.10%,0.0085,,
8012,19.28,38.66%,0.0073,,
8013,17.28,24.06%,0.0098,,
8014,20.60,28.04%,0.0008,,
8015,21.96,29.99%,0.0084,,
8016,7.67,0.31%,0.0018,,
8017,9.99,3.79%,0.0002,,
8018,23.53,31.19%,0.0004,,
8019,1.50,29.32%,0.0065,,
8020,18.78,5.25%,0.0016,,
8021,2.88,1.04%,0.0058,,
8022,24.52,8.21%,0.0010,,
8023,10.86,18.47%,0.0071,,
8024,2.53,12.47%,0.0050,,
8025,0.91,6.02%,0.0031,,
8026,14.93,9.04%,0.0008,,
8027,14.29,37.82%,0.0031,,
8028,12.00,6.03%,0.0090,,
8029,6.08,29.41%,0.0068,,
8030,21.86,25.20%,0.0070,,
8031,22.05,16.43%,0.0046,,
8032,12.37,12.58%,0.0064,,
8033,7.40,12.76%,0.0087,,
8034,9.30,18.07%,0.0052,,
8035,20.49,12.80%,0.0073,,
8036,8.08,9.57%,0.0029,,
8037,11.73,21.51%,0.0039,,
8038,5.92,20.44%,0.0096,,
8039,14.12,36.22%,0.0093,,
8040,2.41,23.22%,0.0071,,
8041,5.96,19.91%,0.0034,,
8042,14.53,19.39%,0.0036,,
8043,21.54,34.33%,0.0049,,
8044,5.84,26.68%,0.0031,,
8045,14.26,6.59%,0.0058,,
8046,17.56,17.69%,0.0072,,
8047,4.95,0.19%,0.0033,,
8048,9.27,23.06%,0.0074,,
8049,21.36,20.88%,0.0062,,
8050,4.07,14.36%,0.0055,,
8051,1.61,10.50%,0.0017,,
8052,23.80,0.95%,0.0025,,
8053,22.35,29.48%,0.0012,,
8054,19.11,34.52%,0.0024,,
8055,21.32,26.64%,0.0067,,
8056,14.90,10.98%,0.0093,,
8057,11.23,29.88%,0.0081,,
8058,18.38,39.44%,0.0076,,
8059,6.87,35.55%,0.0004,,
8060,22.94,26.90%,0.0046,,
8061,9.17,38.51%,0.0020,,
8062,11.72,32.93%,0.0083,,
8063,5.31,21.25%,0.0028,,
8064,23.03,31.08%,0.0075,,
8065,19.48,37.80%,0.0007,,
8066,7.75,18.66%,0.0077,,
8067,5.59,15.65%,0.0033,,
8068,17.03,30.03%,0.0060,,
8069,2.04,3.01%,0.0031,,
8070,11.37,10.90%,0.0076,,
8071,20.62,35.34%,0.0005,,
8072,19.00,37.82%,0.0038,,
8073,19.25,33.72%,0.0045,,
8074,2.39,28.41%,0.0051,,
8075,20.17,32.88%,0.0063,,
8076,16.25,35.44%,0.0015,,
8077,2.38,12.03%,0.0072,,
8078,6.34,14.71%,0.0038,,
8079,4.63,7.63%,0.0002,,
8080,3.74,25.41%,0.0006,,
8081,12.79,3.49%,0.0005,,
8082,7.35,7.25%,0.0027,,
8083,21.67,13.59%,0.0066,,
8084,2.26,12.60%,0.0044,,
8085,18.25,20.44%,0.0016,,
8086,0.34,25.52%,0.0055,,
8087,10.49,29.82%,0.0051,,
8088,9.23,18.09%,0.0035,,
8089,23.55,7.79%,0.0024,,
8090,24.75,4.91%,0.0018,,
8091,8.52,16.51%,0.0060,,
8092,11.16,30.34%,0.0006,,
8093,17.48,31.70%,0.0015,,
8094,11.31,23.51%,0.0090,,
8095,24.52,18.93%,0.0049,,
8096,14.01,9.15%,0.0064,,
8097,15.32,24.76%,0.0095,,
8098,14.03,36.99%,0.0076,,
8099,20.07,17.31%,0.0031,,
8100,15.91,12.38%,0.0089,,
8101,12.13,19.15%,0.0041,,
8102,16.88,13.09%,0.0056,,
8103,16.48,19.57%,0.0077,,
8104,5.17,13.46%,0.0086,,
8105,13.41,28.61%,0.0073,,
8106,17.18,26.96%,0.0032,,
8107,8.69,2.21%,0.0043,,
8108,18.19,23.06%,0.0046,,
8109,17.46,24.84%,0.0052,,
8110,15.74,9.10%,0.0054,,
8111,11.75,4.71%,0.0020,,
8112,10.08,9.15%,0.0073,,
8113,2.25,35.59%,0.0002,,
8114,20.22,21.85%,0.0059,,
8115,10.25,15.73%,0.0033,,
8116,22.14,18.08%,0.0079,,
8117,12.21,24.64%,0.0027,,
8118,7.69,30.86%,0.0052,,
8119,23.54,25.22%,0.0051,,
8120,2.12,8.59%,0.0072,,
8121,5.36,34.73%,0.0087,,
8122,8.63,8.88%,0.0079,,
8123,10.55,7.45%,0.0017,,
8124,21.80,7.15%,0.0015,,
8125,7.77,20.49%,0.0098,,
8126,24.68,9.60%,0.0045,,
8127,16.02,6.07%,0.0006,,
8128,16.96,13.86%,0.0029,,
8129,11.42,15.83%,0.0033,,
8130,6.53,19.67%,0.0041,,
8131,10.22,10.28%,0.0061,,
8132,24.04,39.81%,0.0059,,
8133,11.05,7.93%,0.0082,,
8134,4.78,8.86%,0.0001,,
8135,5.78,13.80%,0.0008,,
8136,11.37,9.08%,0.0058,,
8137,1.79,2.51%,0.0061,,
8138,9.63,9.03%,0.0006,,
8139,15.07,39.42%,0.0025,,
8140,3.58,22.27%,0.0022,,
8141,8.42,36.26%,0.0094,,
8142,18.49,30.68%,0.0003,,
8143,24.33,14.70%,0.0061,,
8144,18.34,3.82%,0.0027,,
8145,0.50,19.67%,0.0059,,
8146,10.92,28.41%,0.0079,,
8147,15.80,9.22%,0.0025,,
8148,18.14,38.50%,0.0002,,
8149,23.77,16.76%,0.0009,,
8150,12.90,26.38%,0.0095,,
8151,8.97,37.90%,0.0081,,
8152,0.13,20.79%,0.0061,,
8153,18.84,11.09%,0.0047,,
8154,16.29,30.61%,0.0027,,
8155,21.09,36.01%,0.0086,,
8156,1.08,21.23%,0.0088,,
8157,0.50,25.47%,0.0030,,
8158,24.81,38.82%,0.0016,,
8159,18.57,25.92%,0.0064,,
8160,12.67,19.42%,0.0033,,
8161,22.89,2.71%,0.0052,,
8162,22.23,5.03%,0.0041,,
8163,5.35,1.31%,0.0076,,
8164,6.62,10.45%,0.0072,,
8165,12.29,30.76%,0.0069,,
8166,20.43,4.32%,0.0071,,
8167,7.21,26.85%,0.0042,,
8168,24.94,26.32%,0.0055,,
8169,7.31,0.09%,0.0021,,
8170,8.66,20.72%,0.0028,,
8171,1.05,16.29%,0.0019,,
8172,18.59,30.26%,0.0074,,
8173,17.80,5.37%,0.0044,,
8174,21.57,20.74%,0.0044,,
8175,3.02,11.00%,0.0030,,
8176,8.12,12.93%,0.0035,,
8177,0.49,18.27%,0.0010,,
8178,22.50,1.88%,0.0025,,
8179,7.29,18.80%,0.0099,,
8180,10.12,6.80%,0.0052,,
8181,11.92,21.45%,0.0033,,
8182,6.37,6.77%,0.0062,,
8183,23.59,27.50%,0.0023,,
8184,12.29,16.90%,0.0009,,
8185,20.67,22.26%,0.0097,,
8186,5.02,26.51%,0.0025,,
8187,4.89,3.25%,0.0027,,
8188,21.48,6.23%,0.0011,,
8189,17.41,12.32%,0.0063,,
8190,0.49,10.93%,0.0009,,
8191,23.36,37.62%,0.0087,,
8192,13.13,1.26%,0.0007,,
8193,8.72,1.56%,0.0011,,
8194,7.65,8.29%,0.0078,,
8195,9.74,8.59%,0.0033,,
8196,3.22,18.59%,0.0086,,
8197,5.01,37.37%,0.0021,,
8198,16.55,20.30%,0.0033,,
8199,6.99,23.47%,0.0004,,
8200,22.84,26.40%,0.0010,,
8201,3.19,32.60%,0.0023,,
8202,4.89,9.02%,0.0011,,
8203,13.57,18.93%,0.0078,,
8204,22.23,4.59%,0.0007,,
8205,24.16,13.46%,0.0098,,
8206,5.55,24.08%,0.0093,,
8207,7.52,19.81%,0.0053,,
8208,12.13,39.45%,0.0090,,
8209,24.31,32.91%,0.0099,,
8210,18.83,5.26%,0.0074,,
8211,18.80,34.50%,0.0066,,
8212,12.76,14.80%,0.0076,,
8213,5.69,3.50%,0.0048,,
8214,5.67,34.45%,0.0041,,
8215,15.54,32.88%,0.0086,,
8216,0.78,11.07%,0.0023,,
8217,7.60,4.25%,0.0044,,
8218,21.82,3.96%,0.0013,,
8219,3.64,9.38%,0.0001,,
8220,22.62,35.50%,0.0099,,
8221,8.31,11.86%,0.0016,,
8222,15.33,39.26%,0.0073,,
8223,4.04,24.30%,0.0071,,
8224,18.99,21.66%,0.0052,,
8225,12.19,21.33%,0.0019,,
8226,9.08,18.86%,0.0061,,
8227,12.60,25.01%,0.0064,,
8228,4.71,38.56%,0.0072,,
8229,5.38,24.54%,0.0001,,
8230,10.89,29.79%,0.0079,,
8231,2.48,21.37%,0.0027,,
8232,2.31,4.69%,0.0055,,
8233,23.03,20.92%,0.0070,,
8234,22.63,7.60%,0.0037,,
8235,19.23,16.52%,0.0036,,
8236,8.52,24.59%,0.0080,,
8237,9.70,28.47%,0.0080,,
8238,19.11,5.30%,0.0045,,
8239,8.95,19.93%,0.0100,,
8240,21.21,39.81%,0.0077,,
8241,4.25,38.68%,0.0056,,
8242,18.47,14.81%,0.0056,,
8243,7.99,1.30%,0.0007,,
8244,21.52,1.78%,0.0007,,
8245,23.42,38.56%,0.0027,,
8246,20.35,1.68%,0.0067,,
8247,22.09,23.94%,0.0057,,
8248,0.67,8.29%,0.0062,,
8249,5.25,7.85%,0.0061,,
8250,6.52,14.94%,0.0063,,
8251,23.21,0.79%,0.0053,,
8252,7.01,8.56%,0.0069,,
8253,0.44,25.02%,0.0045,,
8254,23.55,34.14%,0.0036,,
8255,19.20,11.31%,0.0060,,
8256,19.91,6.41%,0.0059,,
8257,6.98,19.74%,0.0084,,
8258,13.68,20.44%,0.0065,,
8259,6.84,38.87%,0.0075,,
8260,17.70,14.97%,0.0013,,
8261,23.17,27.84%,0.0081,,
8262,15.59,1.07%,0.0086,,
8263,4.79,7.92%,0.0074,,
8264,8.62,34.56%,0.0096,,
8265,19.86,25.34%,0.0068,,
8266,18.48,9.31%,0.0081,,
8267,6.31,30.11%,0.0067,,
8268,5.48,12.07%,0.0007,,
8269,15.09,27.72%,0.0064,,
8270,0.21,27.06%,0.0019,,
8271,13.72,11.05%,0.0033,,
8272,5.93,29.81%,0.0044,,
8273,18.15,36.24%,0.0022,,
8274,11.03,10.54%,0.0039,,
8275,2.36,6.96%,0.0081,,
8276,21.26,1.74%,0.0021,,
8277,7.57,32.65%,0.0004,,
8278,12.28,9.27%,0.0046,,
8279,2.56,18.07%,0.0011,,
8280,15.19,28.10%,0.0004,,
8281,24.70,19.99%,0.0041,,
8282,15.45,1.74%,0.0090,,
8283,21.21,25.76%,0.0053,,
8284,19.36,20.04%,0.0030,,
8285,22.97,12.91%,0.0017,,
8286,19.06,20.30%,0.0099,,
8287,4.02,15.15%,0.0031,,
8288,9.86,11.60%,0.0069,,
8289,1.22,25.87%,0.0059,,
8290,20.79,3.76%,0.0099,,
8291,12.07,2.51%,0.0013,,
8292,10.20,27.76%,0.0046,,
8293,1.02,24.14%,0.0006,,
8294,7.00,21.86%,0.0052,,
8295,12.30,10.84%,0.0097,,
8296,11.69,11.11%,0.0037,,
8297,9.99,16.31%,0.0087,,
8298,0.36,2.36%,0.0034,,
8299,20.43,37.37%,0.0095,,
8300,2.64,39.52%,0.0088,,
8301,20.45,7.78%,0.0054,,
8302,7.27,39.31%,0.0066,,
8303,19.26,11.40%,0.0098,,
8304,1.74,14.62%,0.0030,,
8305,18.62,18.83%,0.0072,,
8306,0.80,15.49%,0.0097,,
8307,5.32,6.87%,0.0081,,
8308,4.41,35.56%,0.0091,,
8309,10.86,4.92%,0.0092,,
8310,12.63,12.27%,0.0097,,
8311,13.99,6.45%,0.0059,,
8312,2.67,2.88%,0.0058,,
8313,2.20,12.61%,0.0019,,
8314,21.58,7.11%,0.0035,,
8315,0.68,16.28%,0.0007,,
8316,12.73,37.18%,0.0088,,
8317,10.28,24.97%,0.0027,,
8318,7.56,24.11%,0.0035,,
8319,11.09,5.33%,0.0010,,
8320,9.46,7.33%,0.0033,,
8321,6.32,27.59%,0.0001,,
8322,22.99,15.94%,0.0027,,
8323,18.97,0.48%,0.0033,,
8324,8.52,31.59%,0.0030,,
8325,3.06,16.27%,0.0047,,
8326,6.55,23.45%,0.0024,,
8327,15.18,24.09%,0.0054,,
8328,4.21,35.10%,0.0004,,
8329,19.12,36.02%,0.0071,,
8330,19.45,0.61%,0.0023,,
8331,14.26,19.08%,0.0091,,
8332,13.66,22.58%,0.0066,,
8333,21.39,20.63%,0.0050,,
8334,10.50,16.57%,0.0039,,
8335,17.08,0.82%,0.0019,,
8336,0.10,25.51%,0.0080,,
8337,0.27,34.61%,0.0006,,
8338,9.23,9.94%,0.0098,,
8339,12.65,20.68%,0.0019,,
8340,15.07,8.52%,0.0003,,
8341,22.14,4.40%,0.0049,,
8342,21.34,7.04%,0.0032,,
8343,23.60,20.96%,0.0055,,
8344,13.37,25.87%,0.0010,,
8345,2.69,3.67%,0.0030,,
8346,4.91,34.66%,0.0095,,
8347,15.43,36.34%,0.0024,,
8348,24.32,16.25%,0.0092,,
8349,11.71,8.43%,0.0054,,
8350,2.23,33.96%,0.0049,,
8351,5.87,8.05%,0.0030,,
8352,1.31,24.47%,0.0013,,
8353,2.24,13.96%,0.0044,,
8354,8.44,0.71%,0.0037,,
8355,6.49,35.62%,0.0092,,
8356,21.29,21.34%,0.0004,,
8357,21.48,25.24%,0.0039,,
8358,14.25,36.53%,0.0006,,
8359,11.77,34.46%,0.0027,,
8360,14.12,26.56%,0.0027,,
8361,23.90,38.50%,0.0084,,
8362,20.50,39.18%,0.0015,,
8363,3.11,25.74%,0.0091,,
8364,1.72,0.85%,0.0086,,
8365,22.61,30.10%,0.0041,,
8366,8.70,28.81%,0.0073,,
8367,12.38,15.93%,0.0055,,
8368,9.96,33.19%,0.0013,,
8369,1.84,32.26%,0.0037,,
8370,13.79,17.70%,0.0036,,
8371,5.48,36.86%,0.0019,,
8372,7.24,1.60%,0.0057,,
8373,22.39,0.33%,0.0006,,
8374,23.29,18.61%,0.0039,,
8375,21.67,31.67%,0.0019,,
8376,23.69,3.58%,0.0053,,
8377,6.28,16.82%,0.0020,,
8378,5.87,9.24%,0.0004,,
8379,10.45,25.01%,0.0031,,
8380,16.85,9.43%,0.0081,,
8381,22.48,24.67%,0.0061,,
8382,15.54,36.53%,0.0029,,
8383,24.36,18.60%,0.0020,,
8384,0.24,16.12%,0.0022,,
8385,19.90,20.89%,0.0031,,
8386,6.21,10.21%,0.0037,,
8387,15.71,36.73%,0.0021,,
8388,18.97,25.07%,0.0073,,
8389,2.67,6.07%,0.0070,,
8390,18.40,30.87%,0.0086,,
8391,21.55,5.95%,0.0085,,
8392,15.72,16.79%,0.0051,,
8393,9.72,38.78%,0.0024,,
8394,15.73,15.94%,0.0071,,
8395,12.18,4.94%,0.0089,,
8396,17.24,34.40%,0.0077,,
8397,20.97,12.57%,0.0063,,
8398,4.16,28.65%,0.0057,,
8399,11.11,37.97%,0.0026,,
8400,1.36,29.65%,0.0062,,
8401,21.37,14.31%,0.0034,,
8402,5.80,27.53%,0.0048,,
8403,21.37,30.76%,0.0079,,
8404,7.88,31.40%,0.0097,,
8405,23.10,22.34%,0.0079,,
8406,2.54,21.64%,0.0092,,
8407,23.44,19.77%,0.0090,,
8408,19.96,32.61%,0.0048,,
8409,8.57,4.87%,0.0003,,
8410,10.17,30.47%,0.0096,,
8411,8.46,14.00%,0.0048,,
8412,1.52,26.11%,0.0084,,
8413,13.39,38.95%,0.0030,,
8414,14.94,6.36%,0.0067,,
8415,5.32,1.07%,0.0040,,
8416,18.95,25.91%,0.0065,,
8417,24.87,13.20%,0.0084,,
8418,16.60,6.29%,0.0067,,
8419,10.58,11.60%,0.0058,,
8420,23.11,0.21%,0.0029,,
8421,12.77,17.07%,0.0023,,
8422,9.21,17.10%,0.0079,,
8423,14.05,19.22%,0.0025,,
8424,21.67,0.79%,0.0085,,
8425,23.99,22.61%,0.0022,,
8426,21.81,2.91%,0.0029,,
8427,7.14,23.06%,0.0060,,
8428,7.53,28.55%,0.0056,,
8429,10.17,39.78%,0.0007,,
8430,10.26,30.28%,0.0085,,
8431,3.87,5.84%,0.0068,,
8432,0.39,25.33%,0.0096,,
8433,16.32,26.21%,0.0031,,
8434,10.28,29.97%,0.0007,,
8435,5.50,19.45%,0.0022,,
8436,2.11,22.85%,0.0029,,
8437,2.34,34.02%,0.0057,,
8438,4.27,11.50%,0.0040,,
8439,2.15,25.02%,0.0058,,
8440,14.64,33.20%,0.0038,,
8441,9.55,28.99%,0.0001,,
8442,20.87,4.74%,0.0071,,
8443,12.83,12.43%,0.0050,,
8444,11.89,31.12%,0.0096,,
8445,15.86,33.68%,0.0044,,
8446,21.62,24.84%,0.0023,,
8447,11.66,25.73%,0.0050,,
8448,11.22,7.75%,0.0004,,
8449,10.52,29.42%,0.0017,,
8450,3.98,39.24%,0.0019,,
8451,2.53,10.47%,0.0005,,
8452,24.68,37.95%,0.0039,,
8453,5.78,39.29%,0.0082,,
8454,21.34,10.96%,0.0099,,
8455,19.47,33.29%,0.0020,,
8456,17.93,32.59%,0.0057,,
8457,22.29,5.54%,0.0042,,
8458,0.85,2.54%,0.0031,,
8459,18.43,32.78%,0.0072,,
8460,8.04,24.51%,0.0066,,
8461,21.25,23.88%,0.0100,,
8462,20.24,19.19%,0.0056,,
8463,2.75,29.76%,0.0027,,
8464,18.09,13.58%,0.0017,,
8465,11.14,2.56%,0.0035,,
8466,5.26,16.03%,0.0075,,
8467,3.06,29.20%,0.0076,,
8468,7.42,33.40%,0.0069,,
8469,16.75,21.64%,0.0087,,
8470,22.94,12.57%,0.0048,,
8471,11.76,10.41%,0.0040,,
8472,12.70,37.63%,0.0082,,
8473,7.12,30.24%,0.0061,,
8474,17.93,17.91%,0.0077,,
8475,17.14,31.35%,0.0071,,
8476,24.83,0.85%,0.0002,,
8477,1.33,7.89%,0.0005,,
8478,5.06,26.68%,0.0006,,
8479,17.21,26.21%,0.0013,,
8480,5.11,8.29%,0.0017,,
8481,1.99,26.49%,0.0099,,
8482,14.87,32.91%,0.0071,,
8483,15.26,6.38%,0.0092,,
8484,14.65,0.53%,0.0037,,
8485,13.22,11.28%,0.0027,,
8486,17.28,24.98%,0.0005,,
8487,4.13,10.48%,0.0009,,
8488,24.39,9.32%,0.0008,,
8489,20.04,36.91%,0.0071,,
8490,7.07,35.17%,0.0046,,
8491,19.11,4.93%,0.0080,,
8492,22.11,26.98%,0.0052,,
8493,20.91,28.50%,0.0037,,
8494,8.68,31.81%,0.0078,,
8495,12.10,24.54%,0.0092,,
8496,5.90,17.92%,0.0064,,
8497,11.73,11.78%,0.0017,,
8498,13.57,25.60%,0.0071,,
8499,13.88,4.66%,0.0005,,
8500,4.00,7.53%,0.0026,,
8501,18.26,17.43%,0.0093,,
8502,16.92,12.30%,0.0043,,
8503,11.70,27.78%,0.0066,,
8504,4.45,2.08%,0.0016,,
8505,16.16,35.08%,0.0018,,
8506,21.61,24.51%,0.0047,,
8507,12.89,8.39%,0.0020,,
8508,23.25,39.69%,0.0012,,
8509,15.00,39.77%,0.0066,,
8510,2.40,2.31%,0.0071,,
8511,12.35,5.81%,0.0035,,
8512,18.36,19.59%,0.0050,,
8513,15.70,23.85%,0.0025,,
8514,0.54,7.81%,0.0015,,
8515,11.36,21.09%,0.0023,,
8516,16.47,33.61%,0.0062,,
8517,3.76,29.69%,0.0093,,
8518,16.31,15.26%,0.0066,,
8519,16.53,18.33%,0.0007,,
8520,23.07,35.79%,0.0082,,
8521,17.44,36.97%,0.0059,,
8522,11.02,18.57%,0.0095,,
8523,23.17,33.06%,0.0033,,
8524,2.34,5.07%,0.0026,,
8525,21.27,25.71%,0.0035,,
8526,6.66,26.37%,0.0085,,
8527,7.44,9.34%,0.0027,,
8528,14.12,15.16%,0.0068,,
8529,13.53,19.37%,0.0003,,
8530,10.86,24.10%,0.0075,,
8531,0.34,37.33%,0.0095,,
8532,7.03,21.99%,0.0024,,
8533,5.69,26.07%,0.0044,,
8534,1.83,7.40%,0.0016,,
8535,22.87,30.30%,0.0033,,
8536,3.50,3.34%,0.0042,,
8537,6.40,33.43%,0.0019,,
8538,21.66,10.91%,0.0066,,
8539,16.68,14.13%,0.0054,,
8540,20.00,21.81%,0.0050,,
8541,4.19,28.47%,0.0053,,
8542,10.84,24.77%,0.0031,,
8543,18.19,38.99%,0.0022,,
8544,18.45,20.15%,0.0020,,
8545,22.46,39.13%,0.0080,,
8546,3.55,10.25%,0.0034,,
8547,9.73,5.62%,0.0040,,
8548,14.21,2.18%,0.0091,,
8549,0.23,9.84%,0.0019,,
8550,8.27,32.32%,0.0056,,
8551,13.85,22.89%,0.0038,,
8552,10.93,26.59%,0.0049,,
8553,15.08,37.12%,0.0056,,
8554,5.90,1.66%,0.0003,,
8555,1.06,5.70%,0.0047,,
8556,1.52,20.63%,0.0055,,
8557,24.57,2.77%,0.0023,,
8558,24.41,5.70%,0.0050,,
8559,13.37,31.98%,0.0012,,
8560,17.75,38.93%,0.0057,,
8561,17.14,30.24%,0.0017,,
8562,8.25,31.26%,0.0009,,
8563,20.30,22.94%,0.0067,,
8564,8.58,18.05%,0.0043,,
8565,8.37,24.08%,0.0071,,
8566,0.78,5.70%,0.0070,,
8567,17.15,20.25%,0.0045,,
8568,20.03,39.18%,0.0059,,
8569,6.08,33.05%,0.0054,,
8570,12.02,25.63%,0.0096,,
8571,1.84,7.06%,0.0063,,
8572,16.68,28.08%,0.0027,,
8573,11.03,20.20%,0.0016,,
8574,22.75,14.12%,0.0004,,
8575,15.40,25.32%,0.0055,,
8576,9.30,15.03%,0.0044,,
8577,11.87,7.89%,0.0023,,
8578,6.66,8.76%,0.0069,,
8579,18.84,15.15%,0.0093,,
8580,24.89,28.88%,0.0009,,
8581,24.69,38.72%,0.0032,,
8582,12.76,25.20%,0.0086,,
8583,12.05,2.45%,0.0078,,
8584,18.15,10.44%,0.0009,,
8585,22.73,25.92%,0.0076,,
8586,7.28,30.24%,0.0058,,
8587,10.68,39.56%,0.0079,,
8588,10.33,22.98%,0.0038,,
8589,14.29,24.40%,0.0025,,
8590,5.94,10.46%,0.0093,,
8591,18.28,17.57%,0.0096,,
8592,9.60,23.35%,0.0007,,
8593,1.45,19.37%,0.0019,,
8594,21.20,1.88%,0.0016,,
8595,11.90,6.98%,0.0023,,
8596,15.36,21.33%,0.0068,,
8597,16.77,4.99%,0.0027,,
8598,22.97,17.55%,0.0004,,
8599,0.21,22.01%,0.0048,,
8600,13.58,29.44%,0.0065,,
8601,20.34,37.08%,0.0018,,
8602,9.31,29.18%,0.0099,,
8603,22.00,12.61%,0.0083,,
8604,1.85,8.16%,0.0095,,
8605,2.78,11.92%,0.0007,,
8606,24.86,33.80%,0.0086,,
8607,16.59,23.45%,0.0060,,
8608,21.34,24.71%,0.0005,,
8609,9.99,6.17%,0.0080,,
8610,5.09,11.72%,0.0093,,
8611,10.34,34.05%,0.0040,,
8612,13.92,2.55%,0.0085,,
8613,3.60,6.22%,0.0015,,
8614,15.29,15.47%,0.0083,,
8615,22.66,37.73%,0.0095,,
8616,3.20,32.83%,0.0043,,
8617,8.20,37.59%,0.0027,,
8618,10.55,13.78%,0.0066,,
8619,14.03,3.70%,0.0085,,
8620,10.77,10.19%,0.0096,,
8621,2.87,2.64%,0.0057,,
8622,7.81,23.43%,0.0072,,
8623,7.85,27.85%,0.0053,,
8624,12.62,11.03%,0.0024,,
8625,20.47,26.50%,0.0031,,
8626,20.68,26.87%,0.0076,,
8627,21.60,34.22%,0.0067,,
8628,10.89,20.02%,0.0083,,
8629,3.83,36.50%,0.0081,,
8630,2.47,10.84%,0.0055,,
8631,19.15,18.42%,0.0016,,
8632,2.76,28.58%,0.0054,,
